,item,cnt
0,388,88
1,390,161
2,372,81
3,719,26
4,771,395
5,378,15
6,717,8
7,24,380
8,382,11
9,92,1390
10,137,44
11,22,34
12,296,85
13,192,456
14,188,381
15,334,2
16,399,17
17,18,74
18,16,37
19,396,57
20,402,108
21,398,256
22,262,892
23,260,785
24,394,13
25,256,533
26,254,118
27,393,128
28,723,32
29,264,161
30,258,947
31,684,97
32,78,35
33,410,442
34,404,241
35,408,15
36,718,15
37,406,17
38,272,716
39,278,305
40,300,154
41,176,178
42,270,344
43,276,228
44,282,466
45,280,129
46,281,25
47,421,60
48,420,66
49,257,21
50,283,69
51,414,31
52,392,29
53,418,60
54,412,29
55,416,38
56,141,46
57,131,45
58,330,62
59,766,89
60,248,310
61,271,197
62,380,30
63,591,229
64,250,241
65,20,33
66,190,279
67,597,173
68,768,32
69,767,114
70,422,23
71,259,6
72,397,32
73,376,104
74,593,88
75,266,101
76,304,459
77,154,22
78,129,14
79,274,173
80,595,54
81,184,106
82,344,374
83,436,39
84,424,1203
85,147,39
86,306,715
87,186,293
88,725,11
89,348,349
90,426,376
91,438,18
92,384,14
93,721,59
94,142,12
95,722,100
96,156,7
97,165,4
98,174,201
99,447,91
100,716,104
101,634,44
102,342,64
103,708,13
104,720,6
105,400,76
106,146,17
107,812,19
108,769,57
109,724,19
110,340,86
111,346,77
112,267,4
113,164,3
114,701,3
115,715,1
116,303,68
117,787,8
118,88,20
119,432,516
120,90,56
121,734,3
122,132,15
123,699,7
124,139,9
125,284,127
126,150,4
127,350,10
128,130,3
129,702,12
130,700,5
131,136,1
132,705,10
133,144,9
134,307,95
135,180,50
136,814,60
137,442,25
138,799,2
139,798,1
140,252,70
141,795,1
142,308,19
143,428,106
144,145,5
145,796,2
146,706,2
147,158,1
148,268,46
149,386,13
150,337,1
151,430,21
152,638,13
153,635,12
154,440,4
155,433,2793
156,454,8
157,459,2
158,613,21
159,815,4
160,446,2
161,138,1
162,614,3
163,637,11
164,636,17
165,182,4
166,444,3
167,305,8
168,336,1
169,335,1
170,709,1
171,726,1
172,445,1
